id	name	category	address	detail_address	zip_code	sigungu_code	latitude	longitude	phone	user_id	owner_name	business_number	favorites	status	created_at	updated_at
1	09학번식당	KOREAN	충청남도 천안시 동남구 각원사길 36	NULL	00000	44131	36.83048361	127.1758828	00000000	1	관리자	0000000001	0	OPEN	2026-05-31 10:28:22.287996	2026-05-31 10:28:22.287996
2	1003푸드	KOREAN	충청남도 천안시 서북구 서부대로 737	NULL	00000	44133	36.83294233	127.1330678	00000000	1	관리자	0000000002	0	OPEN	2026-05-31 10:28:22.491853	2026-05-31 10:28:22.491853
3	101번지남산돈까스 센터시티점	KOREAN	충청남도 천안시 서북구 공원로 227	NULL	00000	44133	36.80056399	127.1047262	00000000	1	관리자	0000000003	0	OPEN	2026-05-31 10:28:22.639643	2026-05-31 10:28:22.639643
4	153순대	KOREAN	충청남도 천안시 서북구 쌍용대로 289-19	NULL	00000	44133	36.82321539	127.134748	00000000	1	관리자	0000000004	0	OPEN	2026-05-31 10:28:22.756551	2026-05-31 10:28:22.756551
5	1982냉삼집	KOREAN	충청남도 천안시 동남구 충절로 206	NULL	00000	44131	36.80057381	127.1588537	00000000	1	관리자	0000000005	0	OPEN	2026-05-31 10:28:22.858184	2026-05-31 10:28:22.858184
6	1984한우클래식	KOREAN	충청남도 천안시 서북구 검은들1길 12	NULL	00000	44133	36.81070946	127.1100513	00000000	1	관리자	0000000006	0	OPEN	2026-05-31 10:28:22.922571	2026-05-31 10:28:22.922571
7	1986숯불구이 신부점	KOREAN	충청남도 천안시 동남구 먹거리5길 16	NULL	00000	44131	36.81760839	127.1577578	00000000	1	관리자	0000000007	0	OPEN	2026-05-31 10:28:23.007344	2026-05-31 10:28:23.007344
8	1990륭국집	KOREAN	충청남도 천안시 동남구 먹거리10길 5	NULL	00000	44131	36.81799783	127.1543915	00000000	1	관리자	0000000008	0	OPEN	2026-05-31 10:28:23.103525	2026-05-31 10:28:23.103525
9	1공구포차	KOREAN	충청남도 천안시 서북구 불당25로 178	NULL	00000	44133	36.8169717	127.1086065	00000000	1	관리자	0000000009	0	OPEN	2026-05-31 10:28:23.176009	2026-05-31 10:28:23.176009
10	1번가국밥	KOREAN	충청남도 천안시 서북구 서부3길 37	NULL	00000	44133	36.82188304	127.1396897	00000000	1	관리자	0000000010	0	OPEN	2026-05-31 10:28:23.236899	2026-05-31 10:28:23.236899
11	1인용딜리버리	KOREAN	충청남도 천안시 서북구 서부4길 21	NULL	00000	44133	36.82049777	127.1410045	00000000	1	관리자	0000000011	0	OPEN	2026-05-31 10:28:23.303667	2026-05-31 10:28:23.303667
12	1인용딜리버리	KOREAN	충청남도 천안시 서북구 서부8길 15	NULL	00000	44133	36.81918231	127.1382523	00000000	1	관리자	0000000012	0	OPEN	2026-05-31 10:28:23.378632	2026-05-31 10:28:23.378632
13	1톤푸드	KOREAN	충청남도 천안시 동남구 일봉로 87-16	NULL	00000	44131	36.79140842	127.1383606	00000000	1	관리자	0000000013	0	OPEN	2026-05-31 10:28:23.469415	2026-05-31 10:28:23.469415
14	24시명가생고기김치찌개	KOREAN	충청남도 천안시 동남구 청수15길 35-31	NULL	00000	44131	36.78891976	127.1554338	00000000	1	관리자	0000000014	0	OPEN	2026-05-31 10:28:23.548441	2026-05-31 10:28:23.548441
15	24시수육국밥	KOREAN	충청남도 천안시 서북구 월봉로 38	NULL	00000	44133	36.79420626	127.1181261	00000000	1	관리자	0000000015	0	OPEN	2026-05-31 10:28:23.618853	2026-05-31 10:28:23.618853
16	24시얼큰이병천순대	KOREAN	충청남도 천안시 서북구 서부대로 402	NULL	00000	44133	36.80312606	127.1276041	00000000	1	관리자	0000000016	0	OPEN	2026-05-31 10:28:23.691791	2026-05-31 10:28:23.691791
17	24시전주명가콩나물국밥 청수점	KOREAN	충청남도 천안시 동남구 청수6로 35-30	NULL	00000	44131	36.78498576	127.1575948	00000000	1	관리자	0000000017	0	OPEN	2026-05-31 10:28:23.739389	2026-05-31 10:28:23.739389
18	24시전주명가콩나물국밥 쌍용점	KOREAN	충청남도 천안시 서북구 서부대로 295	NULL	00000	44133	36.79398749	127.1275401	00000000	1	관리자	0000000018	0	OPEN	2026-05-31 10:28:23.783183	2026-05-31 10:28:23.783183
19	24시전주콩나물국밥	KOREAN	충청남도 천안시 서북구 두정로 187	NULL	00000	44133	36.83407323	127.1378657	00000000	1	관리자	0000000019	0	OPEN	2026-05-31 10:28:23.861299	2026-05-31 10:28:23.861299
20	24시진양한돈가	KOREAN	충청남도 천안시 서북구 성정공원5로 35	NULL	00000	44133	36.82811673	127.1415296	00000000	1	관리자	0000000020	0	OPEN	2026-05-31 10:28:23.918429	2026-05-31 10:28:23.918429
21	292짬떡	KOREAN	충청남도 천안시 동남구 신부11길 17	NULL	00000	44131	36.81792182	127.1606168	00000000	1	관리자	0000000021	0	OPEN	2026-05-31 10:28:23.962213	2026-05-31 10:28:23.962213
22	292짬떡	KOREAN	충청남도 천안시 서북구 봉정로 222	NULL	00000	44133	36.82172149	127.1438135	00000000	1	관리자	0000000022	0	OPEN	2026-05-31 10:28:24.021892	2026-05-31 10:28:24.021892
23	31순대막국수	KOREAN	충청남도 천안시 동남구 충절로 857	NULL	00000	44131	36.77152823	127.2065072	00000000	1	관리자	0000000023	0	OPEN	2026-05-31 10:28:24.073871	2026-05-31 10:28:24.073871
24	365간장게장	KOREAN	충청남도 천안시 서북구 불당25로 142	NULL	00000	44133	36.81380261	127.1076251	00000000	1	관리자	0000000024	0	OPEN	2026-05-31 10:28:24.149819	2026-05-31 10:28:24.149819
25	36대경집	KOREAN	충청남도 천안시 서북구 쌍용13길 10	NULL	00000	44133	36.80022446	127.118997	00000000	1	관리자	0000000025	0	OPEN	2026-05-31 10:28:24.206985	2026-05-31 10:28:24.206985
26	3분카레	KOREAN	충청남도 천안시 서북구 성정두정로 70	NULL	00000	44133	36.83194076	127.1421621	00000000	1	관리자	0000000026	0	OPEN	2026-05-31 10:28:24.279623	2026-05-31 10:28:24.279623
27	3차대전	KOREAN	충청남도 천안시 서북구 미라11길 23	NULL	00000	44133	36.80452909	127.1303167	00000000	1	관리자	0000000027	0	OPEN	2026-05-31 10:28:24.351759	2026-05-31 10:28:24.351759
28	3층포차	KOREAN	충청남도 천안시 서북구 원두정7길 11	NULL	00000	44133	36.83216307	127.135197	00000000	1	관리자	0000000028	0	OPEN	2026-05-31 10:28:24.410989	2026-05-31 10:28:24.410989
29	523막창	KOREAN	충청남도 천안시 서북구 쌍용7길 18	NULL	00000	44133	36.80137683	127.1204116	00000000	1	관리자	0000000029	0	OPEN	2026-05-31 10:28:24.478932	2026-05-31 10:28:24.478932
30	5900냥갈비	KOREAN	충청남도 천안시 동남구 가전8길 85	NULL	00000	44131	36.76384853	127.2850034	00000000	1	관리자	0000000030	0	OPEN	2026-05-31 10:28:24.559240	2026-05-31 10:28:24.559240
31	59년왕십리곱창	KOREAN	충청남도 천안시 동남구 수선정길 20	NULL	00000	44131	36.80349233	127.1511236	00000000	1	관리자	0000000031	0	OPEN	2026-05-31 10:28:24.614729	2026-05-31 10:28:24.614729
32	59비벼양많은보쌈양보	KOREAN	충청남도 천안시 서북구 쌍용대로 275	NULL	00000	44133	36.82201293	127.1361318	00000000	1	관리자	0000000032	0	OPEN	2026-05-31 10:28:24.694489	2026-05-31 10:28:24.694489
33	5일장	KOREAN	충청남도 천안시 동남구 개목4길 12	NULL	00000	44131	36.81503976	127.1329149	00000000	1	관리자	0000000033	0	OPEN	2026-05-31 10:28:24.745659	2026-05-31 10:28:24.745659
34	666버거	KOREAN	충청남도 천안시 서북구 미라8길 20	NULL	00000	44133	36.8029221	127.1294071	00000000	1	관리자	0000000034	0	OPEN	2026-05-31 10:28:24.794862	2026-05-31 10:28:24.794862
35	6692양꼬치양갈비	KOREAN	충청남도 천안시 서북구 미라2길 47	NULL	00000	44133	36.80378634	127.1298163	00000000	1	관리자	0000000035	0	OPEN	2026-05-31 10:28:24.840407	2026-05-31 10:28:24.840407
36	67하우스	KOREAN	충청남도 천안시 서북구 불당25로 146	NULL	00000	44133	36.81412658	127.1078661	00000000	1	관리자	0000000036	0	OPEN	2026-05-31 10:28:24.878237	2026-05-31 10:28:24.878237
37	6단지아지트식당	KOREAN	충청남도 천안시 서북구 쌍용대로 289-16	NULL	00000	44133	36.82347132	127.1350729	00000000	1	관리자	0000000037	0	OPEN	2026-05-31 10:28:24.925216	2026-05-31 10:28:24.925216
38	79네수육국밥 천안직영점	KOREAN	충청남도 천안시 서북구 성정공원5로 25	NULL	00000	44133	36.8281465	127.1404295	00000000	1	관리자	0000000038	0	OPEN	2026-05-31 10:28:24.965331	2026-05-31 10:28:24.965331
39	79네수육국밥 쌍용점	KOREAN	충청남도 천안시 서북구 미라2길 53	NULL	00000	44133	36.80421269	127.1298581	00000000	1	관리자	0000000039	0	OPEN	2026-05-31 10:28:25.003555	2026-05-31 10:28:25.003555
